age,overall,potential,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,dribbling,physic,attacking_crossing,attacking_heading_accuracy,attacking_volleys,skill_curve,skill_long_passing,movement_agility,movement_reactions,power_shot_power,power_stamina,power_strength,power_long_shots,mentality_positioning,mentality_penalties,mentality_composure_boxcox,passing_boxcox,mentality_vision_boxcox,value_eur_boxcox,wage_eur_boxcox,skill_fk_accuracy_boxcox,defending_boxcox,mentality_aggression_boxcox,defending_marking_boxcox,mentality_interceptions_boxcox,defending_standing_tackle_boxcox,pca_0,pca_1,position1_RW position2_ LW,position1_LW,position1_LW position2_ RW,position2_ LW,position1_LW preferred_foot_Right,position1_RW preferred_foot_Left,position1_RW,position2_ LW preferred_foot_Right,position2_ ST,position1_ST preferred_foot_Right,position1_ST,position1_ST position2_NA,position2_NA preferred_foot_Right,position2_NA
23.0,67.0,73.0,1.0,2.0,3.0,1.0,72.0,66.0,69.0,72.0,68.0,70.0,44.0,62.0,66.0,74.0,52.0,70.0,73.0,80.0,64.0,68.0,66.0,2.3547494316111752,3.669271294834339,2.4118063625038606,22.655215795264052,7.442015355198194,1.595268090699677,1.5870200836401955,2.875254174432316,3.4618752396127466,2.0534161915355966,2.066385446516267,0.8378608646597867,1.0374215295012588,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,67.0,73.0,1.0,2.0,3.0,1.0,58.0,67.0,64.0,71.0,32.0,69.0,56.0,53.0,52.0,59.0,57.0,68.0,60.0,86.0,66.0,62.0,56.0,2.3460159048911846,3.466050869990403,2.380423874938849,22.894960150896154,8.63807411543423,1.5660762014595013,1.5808957798817103,2.8538925239963984,3.042098705110072,1.9907918488466652,2.4607388081473687,-1.1946255853275554,1.837603315088863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,67.0,73.0,1.0,3.0,3.0,2.0,64.0,65.0,63.0,65.0,53.0,73.0,61.0,58.0,63.0,64.0,54.0,71.0,61.0,73.0,63.0,66.0,42.0,2.332213098568945,3.607629034238105,2.380423874938849,22.894960150896154,8.491333459558893,1.5921064073932165,1.5675881587508063,2.842818680610953,2.9104009739842094,2.007772700040432,2.3871566370309916,-0.12091400550423637,1.5983034180510314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,67.0,73.0,1.0,4.0,3.0,1.0,68.0,64.0,66.0,66.0,59.0,69.0,59.0,43.0,35.0,53.0,58.0,66.0,51.0,78.0,56.0,63.0,55.0,2.367211645999765,3.511475869676314,2.396629382113392,22.894960150896154,8.877043404472065,1.5522199596737745,1.5870200836401955,2.924567491750992,3.120499448055245,1.93310559426565,2.524608988047229,-0.10753025264448367,0.9207140222197618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
23.0,67.0,73.0,1.0,3.0,3.0,1.0,78.0,67.0,69.0,55.0,66.0,48.0,61.0,68.0,54.0,69.0,54.0,66.0,65.0,60.0,69.0,56.0,62.0,2.2961743730675406,3.620384086261647,2.406854460075256,22.655215795264052,7.442015355198194,1.6519587435169403,1.6086294288637202,2.633649086018807,3.8037008122729454,1.8344046503782445,2.4129304840341366,1.0818689687713243,0.2870325280112007,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23.0,67.0,73.0,1.0,3.0,4.0,1.0,86.0,64.0,73.0,58.0,51.0,58.0,67.0,31.0,33.0,86.0,64.0,64.0,68.0,56.0,60.0,64.0,46.0,2.307079174939635,3.450262255953547,2.33782896758502,22.894960150896154,8.491333459558893,1.5301502631729516,1.535636467037123,2.807873324028849,2.9104009739842094,1.93310559426565,2.156582596347263,1.9553900539480626,-0.6015937053493294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,67.0,73.0,1.0,4.0,2.0,1.0,46.0,71.0,55.0,63.0,45.0,70.0,69.0,42.0,33.0,49.0,63.0,73.0,57.0,73.0,66.0,70.0,70.0,2.3460159048911846,3.466050869990403,2.350762882497616,22.894960150896154,8.104774075415646,1.5921064073932165,1.5052104880882688,2.8855644906072935,2.4260028251108596,1.8344046503782445,2.156582596347263,-2.162445238621894,3.491913847165483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
23.0,67.0,72.0,1.0,3.0,2.0,2.0,81.0,63.0,60.0,74.0,34.0,63.0,58.0,34.0,53.0,65.0,64.0,70.0,72.0,78.0,61.0,69.0,60.0,2.322500009212069,3.4176309060780703,2.269866485257038,22.655215795264052,7.442015355198194,1.5854108154005266,1.6086294288637202,3.016748690967605,3.1927507764234835,2.023813556683207,2.6764006978370904,1.241105740168248,-0.6637891060506091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
23.0,67.0,72.0,1.0,4.0,3.0,1.0,74.0,63.0,70.0,51.0,65.0,39.0,56.0,59.0,60.0,79.0,59.0,61.0,67.0,39.0,66.0,63.0,60.0,2.3369124037474327,3.64524026512297,2.4118063625038606,22.655215795264052,8.104774075415646,1.6279555338586442,1.6086294288637202,2.942847408826905,3.4618752396127466,2.157157065982224,2.5042506987122697,0.7647354370774037,0.3444939707066971,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,66.0,85.0,1.0,4.0,4.0,1.0,79.0,58.0,72.0,55.0,53.0,41.0,52.0,62.0,60.0,73.0,58.0,62.0,60.0,54.0,59.0,58.0,39.0,2.3415121169760162,3.620384086261647,2.4214082237817545,23.318855423210465,6.776922358580213,1.6505012639124743,1.603614402736107,2.8855644906072935,3.2268553762011907,2.1474546562761683,2.5809018180763257,1.041493025509665,-0.6841828356853151,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,66.0,83.0,1.0,3.0,3.0,2.0,78.0,62.0,72.0,41.0,47.0,51.0,52.0,54.0,46.0,86.0,65.0,64.0,49.0,40.0,62.0,64.0,62.0,2.322500009212069,3.511475869676314,2.380423874938849,23.508416478930833,9.150189867421469,1.588823275778899,1.535636467037123,2.633649086018807,3.000250483928517,1.8620714456608367,2.300717864846649,0.9550361304486451,-0.320727720444352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,66.0,83.0,1.0,4.0,2.0,2.0,84.0,64.0,62.0,61.0,26.0,62.0,40.0,53.0,36.0,82.0,63.0,64.0,82.0,52.0,50.0,74.0,63.0,2.358985601014023,3.365807310408811,2.3859475934604477,23.318855423210465,6.776922358580213,1.5301502631729516,1.5526255875801016,2.8855644906072935,3.1573334778160134,1.8875624493268246,2.300717864846649,1.538429133839625,-0.4009110491197178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
18.0,66.0,83.0,1.0,3.0,3.0,1.0,79.0,64.0,69.0,67.0,47.0,60.0,58.0,55.0,43.0,72.0,56.0,71.0,56.0,77.0,60.0,57.0,63.0,2.3460159048911846,3.466050869990403,2.3569872033675825,23.318855423210465,7.442015355198194,1.6012554359232598,1.5808957798817103,2.895641653318523,3.000250483928517,2.126879785311894,2.3871566370309916,0.732684599308757,-0.4719750912782726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20.0,66.0,82.0,1.0,3.0,3.0,2.0,68.0,62.0,63.0,68.0,34.0,68.0,46.0,45.0,44.0,64.0,55.0,67.0,69.0,78.0,48.0,67.0,60.0,2.278767650399617,3.400757066319091,2.302280812245925,23.508416478930833,7.8299967201075855,1.561674260016329,1.5603345121009968,2.7956027625408217,3.000250483928517,1.9111624280074981,2.3871566370309916,-0.27574322598875906,0.8624815480292466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
19.0,66.0,82.0,1.0,3.0,3.0,2.0,79.0,64.0,68.0,53.0,50.0,59.0,59.0,48.0,49.0,74.0,66.0,64.0,61.0,51.0,59.0,67.0,65.0,2.327410330499422,3.511475869676314,2.344379266305195,23.508416478930833,8.63807411543423,1.604093855567058,1.535636467037123,2.8198228302242483,3.000250483928517,1.8620714456608367,2.233642057233157,1.2150891663819359,-0.02457390307073861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
19.0,66.0,82.0,1.0,3.0,3.0,2.0,75.0,64.0,65.0,66.0,40.0,62.0,54.0,46.0,43.0,73.0,64.0,68.0,66.0,70.0,55.0,65.0,65.0,2.322500009212069,3.4341272865353534,2.33782896758502,23.508416478930833,8.104774075415646,1.5854108154005266,1.5928313209959937,2.9054952692143,3.5122873890436455,1.8344046503782445,2.437419988060028,0.587029518921623,0.20113705191443576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20.0,66.0,82.0,1.0,2.0,2.0,1.0,53.0,65.0,60.0,67.0,38.0,65.0,46.0,41.0,33.0,57.0,65.0,59.0,67.0,79.0,57.0,71.0,61.0,2.332213098568945,3.466050869990403,2.396629382113392,23.508416478930833,8.317617599496366,1.5818604148991797,1.535636467037123,2.7288134099440176,2.7568099329800435,1.93310559426565,2.156582596347263,-1.3631793746349337,2.826934714914899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20.0,66.0,81.0,1.0,3.0,3.0,1.0,81.0,62.0,65.0,59.0,27.0,69.0,57.0,63.0,29.0,77.0,70.0,68.0,67.0,58.0,46.0,66.0,70.0,2.3369124037474327,3.3291261452116685,2.3097946246409933,23.508416478930833,7.442015355198194,1.6410052857720987,1.5675881587508063,2.842818680610953,2.4260028251108596,2.080178597715053,2.4607388081473687,0.6871766922140167,-0.8362299572847617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
21.0,66.0,81.0,1.0,3.0,4.0,2.0,89.0,58.0,70.0,63.0,51.0,37.0,41.0,44.0,55.0,87.0,57.0,60.0,73.0,65.0,58.0,61.0,53.0,2.322500009212069,3.581426744075639,2.4118063625038606,23.508416478930833,8.104774075415646,1.5818604148991797,1.6306196274567961,2.7429623671347207,3.5830472137262643,2.1373712961864126,2.7042489736752495,2.2392383835037117,-1.3165361065337982,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,66.0,81.0,1.0,3.0,4.0,1.0,70.0,59.0,73.0,50.0,60.0,38.0,49.0,64.0,48.0,76.0,61.0,61.0,76.0,45.0,56.0,58.0,61.0,2.3415121169760162,3.607629034238105,2.435108384088105,23.508416478930833,6.776922358580213,1.6120546582770023,1.516121222308795,2.6508899363128573,3.000250483928517,1.9111624280074981,2.1133781144904193,0.007082917017318682,0.2382476307124895,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18.0,66.0,81.0,1.0,5.0,3.0,2.0,72.0,59.0,69.0,40.0,71.0,50.0,39.0,45.0,62.0,72.0,55.0,60.0,44.0,41.0,61.0,54.0,70.0,2.3369124037474327,3.6925287265801496,2.4214082237817545,23.318855423210465,7.8299967201075855,1.6459226098973267,1.5675881587508063,2.6675318940922548,2.7568099329800435,2.007772700040432,2.524608988047229,0.6737063633816666,0.5138075362318371,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,66.0,80.0,1.0,3.0,4.0,2.0,83.0,57.0,69.0,66.0,59.0,32.0,47.0,61.0,57.0,77.0,56.0,57.0,61.0,69.0,58.0,59.0,48.0,2.3123391483363784,3.620384086261647,2.416656395940773,23.508416478930833,8.765087034191607,1.6443231238591849,1.5744294286224392,3.0388024591484744,3.3806350104178944,1.9907918488466652,2.4829864931545154,1.339355173294181,-1.0689887478088065,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,66.0,80.0,1.0,3.0,3.0,1.0,76.0,67.0,62.0,56.0,46.0,59.0,58.0,61.0,51.0,59.0,66.0,68.0,57.0,63.0,64.0,65.0,63.0,2.367211645999765,3.496644762643911,2.3569872033675825,23.508416478930833,8.63807411543423,1.6012554359232598,1.5808957798817103,2.7288134099440176,3.3806350104178944,1.8042115375086012,2.3871566370309916,0.7489627400357896,0.3528700296056456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20.0,66.0,80.0,1.0,3.0,2.0,2.0,81.0,62.0,68.0,55.0,61.0,35.0,48.0,52.0,49.0,76.0,64.0,72.0,70.0,52.0,63.0,60.0,50.0,2.307079174939635,3.567962981655709,2.4118063625038606,23.508416478930833,9.067620471467485,1.5983155529291988,1.5983551549263135,2.842818680610953,3.2914889981485307,2.0534161915355966,2.614985836526234,1.0466259695065077,-0.8614795604276777,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,66.0,80.0,1.0,3.0,2.0,1.0,71.0,66.0,65.0,64.0,51.0,58.0,56.0,43.0,52.0,60.0,59.0,63.0,57.0,67.0,56.0,66.0,48.0,2.327410330499422,3.496644762643911,2.350762882497616,23.508416478930833,8.104774075415646,1.619281820247202,1.5444119818719417,2.993493431583531,3.000250483928517,1.9111624280074981,2.2682751741622194,0.3646436971902533,1.1011310569701003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20.0,66.0,79.0,1.0,3.0,3.0,1.0,77.0,61.0,70.0,55.0,63.0,47.0,57.0,49.0,51.0,69.0,58.0,67.0,61.0,59.0,49.0,62.0,63.0,2.327410330499422,3.594645936057005,2.3913478226602582,23.11516118870459,8.765087034191607,1.604093855567058,1.6265857665365608,2.7288134099440176,3.2914889981485307,2.1665032007147063,2.730467570204264,0.9422434170831474,0.08797098453679045,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,66.0,78.0,1.0,2.0,3.0,1.0,69.0,66.0,68.0,54.0,54.0,58.0,60.0,64.0,60.0,69.0,60.0,65.0,63.0,50.0,63.0,68.0,54.0,2.3369124037474327,3.620384086261647,2.435108384088105,23.11516118870459,7.442015355198194,1.6169473329950628,1.6344951701995893,2.895641653318523,3.669593204826089,2.0926387391240224,2.7042489736752495,0.4837424695141752,1.2852543128639806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,66.0,78.0,1.0,4.0,2.0,2.0,79.0,61.0,66.0,62.0,65.0,61.0,50.0,40.0,44.0,68.0,62.0,67.0,64.0,59.0,60.0,67.0,60.0,2.3751275013795037,3.594645936057005,2.4214082237817545,22.894960150896154,7.442015355198194,1.5660762014595013,1.5603345121009968,3.0013861682475116,3.408523379599576,1.8875624493268246,2.014939908468459,1.135808608253139,-0.44949625325522613,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20.0,66.0,78.0,1.0,3.0,2.0,1.0,75.0,67.0,59.0,55.0,38.0,64.0,48.0,53.0,44.0,60.0,64.0,74.0,64.0,60.0,55.0,70.0,62.0,2.3547494316111752,3.400757066319091,2.344379266305195,23.11516118870459,8.317617599496366,1.561674260016329,1.535636467037123,2.5972011789663365,2.956416510933351,1.8875624493268246,2.156582596347263,0.3458900363087621,0.2795206968391908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20.0,66.0,78.0,1.0,3.0,3.0,1.0,73.0,63.0,70.0,61.0,32.0,61.0,50.0,34.0,56.0,80.0,60.0,64.0,67.0,62.0,55.0,65.0,57.0,2.307079174939635,3.511475869676314,2.4214082237817545,23.11516118870459,7.8299967201075855,1.5570612478550403,1.535636467037123,2.8647004825218096,2.6381922654443537,1.9111624280074981,2.3312135091829096,0.675496496490304,0.7075063448276341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
19.0,66.0,78.0,1.0,3.0,3.0,1.0,67.0,66.0,71.0,51.0,61.0,62.0,64.0,64.0,58.0,78.0,65.0,71.0,59.0,49.0,64.0,64.0,67.0,2.350427243648429,3.632918739106135,2.4214082237817545,22.894960150896154,7.442015355198194,1.6299731250720593,1.6579359730937315,2.8314665414551285,3.669593204826089,2.080178597715053,2.842240560287513,-0.09839513842195391,1.0530314596918815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
21.0,66.0,78.0,1.0,4.0,2.0,2.0,72.0,68.0,67.0,57.0,66.0,60.0,68.0,65.0,55.0,68.0,59.0,72.0,75.0,60.0,66.0,60.0,71.0,2.327410330499422,3.607629034238105,2.3913478226602582,23.11516118870459,7.442015355198194,1.5983155529291988,1.5675881587508063,2.4920953280664286,3.2268553762011907,1.9535867000935991,2.3312135091829096,0.6224534417106038,0.7491581641693048,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22.0,66.0,77.0,1.0,3.0,3.0,1.0,71.0,63.0,67.0,66.0,45.0,65.0,52.0,44.0,53.0,63.0,68.0,67.0,76.0,63.0,59.0,61.0,61.0,2.371207047886076,3.511475869676314,2.3913478226602582,22.894960150896154,8.104774075415646,1.6338459868174404,1.535636467037123,2.9517089545544004,2.6993916513151945,1.77105455707282,2.196528005162929,-0.08327353783467975,0.19034759425215367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
22.0,66.0,77.0,1.0,3.0,2.0,2.0,66.0,63.0,62.0,63.0,64.0,68.0,51.0,38.0,55.0,58.0,63.0,64.0,69.0,67.0,57.0,66.0,66.0,2.327410330499422,3.567962981655709,2.374771561168574,22.894960150896154,8.317617599496366,1.5660762014595013,1.617997928600929,2.8314665414551285,3.2268553762011907,2.0926387391240224,2.6467247269776513,-0.17479006042620113,0.9564746340882677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,66.0,77.0,1.0,3.0,3.0,1.0,85.0,67.0,68.0,46.0,51.0,39.0,63.0,58.0,57.0,87.0,58.0,68.0,49.0,48.0,62.0,70.0,56.0,2.332213098568945,3.554245712291283,2.344379266305195,22.894960150896154,7.442015355198194,1.5702825231008308,1.5603345121009968,2.5972011789663365,2.956416510933351,1.972769276095106,2.437419988060028,2.316060436103922,0.11199188554987488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,66.0,77.0,1.0,3.0,2.0,2.0,67.0,62.0,62.0,69.0,52.0,71.0,58.0,57.0,26.0,54.0,62.0,61.0,57.0,78.0,60.0,62.0,60.0,2.3369124037474327,3.466050869990403,2.3630591546030923,22.894960150896154,8.765087034191607,1.5301502631729516,1.5928313209959937,2.9854531935071913,3.2268553762011907,2.0534161915355966,2.3599679246294123,-0.2562176020888493,0.8147102411260208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20.0,66.0,77.0,1.0,2.0,3.0,2.0,91.0,56.0,72.0,56.0,59.0,40.0,39.0,46.0,50.0,94.0,61.0,63.0,62.0,51.0,45.0,63.0,54.0,2.290518262666204,3.526012402091934,2.3569872033675825,22.894960150896154,7.8299967201075855,1.5660762014595013,1.603614402736107,2.915134377194075,3.3518715062468516,2.1159500510451563,2.562876198719709,2.0858624966240757,-1.96488425344088,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20.0,66.0,77.0,1.0,3.0,2.0,2.0,83.0,64.0,65.0,67.0,56.0,56.0,49.0,53.0,46.0,72.0,62.0,65.0,64.0,70.0,58.0,68.0,50.0,2.3864630823972273,3.554245712291283,2.406854460075256,22.894960150896154,7.8299967201075855,1.5743071444167307,1.5870200836401955,2.993493431583531,3.408523379599576,1.972769276095106,2.3871566370309916,1.822601003392767,-0.11180506728497543,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,66.0,77.0,1.0,3.0,2.0,1.0,53.0,64.0,60.0,73.0,30.0,72.0,59.0,40.0,49.0,50.0,61.0,65.0,67.0,81.0,53.0,65.0,64.0,2.332213098568945,3.450262255953547,2.3689852372755404,22.894960150896154,7.442015355198194,1.5743071444167307,1.6134184734317776,3.016748690967605,3.3806350104178944,2.039002486113477,2.524608988047229,-1.7789371846696356,2.336417911092789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
20.0,66.0,77.0,1.0,3.0,3.0,1.0,78.0,60.0,70.0,59.0,58.0,49.0,61.0,54.0,57.0,75.0,61.0,65.0,56.0,66.0,52.0,62.0,61.0,2.3547494316111752,3.581426744075639,2.401796825634851,22.894960150896154,7.442015355198194,1.595268090699677,1.5808957798817103,2.875254174432316,2.956416510933351,2.007772700040432,2.562876198719709,0.6419400397356541,-0.5752297184762941,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,66.0,76.0,1.0,3.0,4.0,1.0,78.0,61.0,71.0,63.0,62.0,43.0,58.0,65.0,55.0,81.0,60.0,67.0,64.0,62.0,61.0,56.0,62.0,2.3460159048911846,3.607629034238105,2.401796825634851,22.655215795264052,7.442015355198194,1.637517830954246,1.5526255875801016,2.9854531935071913,3.536488086401089,1.734378707447546,2.066385446516267,0.6492419785153346,-0.7594387058447009,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,66.0,76.0,1.0,4.0,3.0,2.0,84.0,65.0,68.0,60.0,60.0,59.0,54.0,60.0,40.0,89.0,59.0,66.0,74.0,63.0,60.0,62.0,68.0,2.3460159048911846,3.554245712291283,2.406854460075256,22.655215795264052,8.104774075415646,1.604093855567058,1.6086294288637202,2.633649086018807,3.2914889981485307,2.1159500510451563,2.631129548772585,1.7750487231988852,-0.29464296555604047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
22.0,66.0,76.0,1.0,3.0,3.0,1.0,80.0,64.0,65.0,55.0,60.0,61.0,61.0,60.0,53.0,77.0,63.0,65.0,61.0,57.0,62.0,66.0,61.0,2.3547494316111752,3.581426744075639,2.3689852372755404,22.655215795264052,6.776922358580213,1.619281820247202,1.6382224343489344,2.7429623671347207,2.956416510933351,2.216228702563403,2.811620383848271,1.3884863889404082,-0.19450864836599435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
22.0,66.0,76.0,1.0,3.0,3.0,2.0,77.0,66.0,67.0,59.0,61.0,52.0,55.0,70.0,48.0,73.0,62.0,75.0,56.0,62.0,65.0,62.0,40.0,2.350427243648429,3.567962981655709,2.3630591546030923,22.655215795264052,7.442015355198194,1.5921064073932165,1.6306196274567961,2.924567491750992,3.7295029340068524,2.023813556683207,2.6467247269776513,1.0420497744124384,0.0981678493541436,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21.0,66.0,76.0,1.0,3.0,3.0,1.0,84.0,55.0,68.0,74.0,58.0,54.0,53.0,51.0,60.0,81.0,64.0,57.0,88.0,70.0,43.0,63.0,41.0,2.332213098568945,3.607629034238105,2.406854460075256,22.655215795264052,8.491333459558893,1.5818604148991797,1.6916754884888168,3.0242276714973846,3.8556259819623597,2.3406178354089193,2.954077250918698,1.6569931685097599,-0.7228927836690998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20.0,66.0,76.0,1.0,4.0,3.0,1.0,73.0,65.0,67.0,57.0,63.0,53.0,59.0,50.0,58.0,70.0,64.0,66.0,55.0,56.0,60.0,60.0,67.0,2.3415121169760162,3.620384086261647,2.401796825634851,22.655215795264052,8.104774075415646,1.6120546582770023,1.5983551549263135,2.977260250755801,3.000250483928517,2.023813556683207,2.6467247269776513,0.7878843695288001,0.8069478972397943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22.0,66.0,76.0,1.0,3.0,3.0,2.0,73.0,65.0,63.0,48.0,67.0,66.0,63.0,71.0,66.0,72.0,54.0,69.0,70.0,38.0,64.0,68.0,63.0,2.332213098568945,3.71505947009366,2.4602764430523325,22.655215795264052,7.8299967201075855,1.647484519519154,1.6134184734317776,2.7288134099440176,3.1927507764234835,2.1373712961864126,2.598256772883575,0.8192538367109777,0.6665615690759258,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,66.0,76.0,1.0,2.0,3.0,1.0,80.0,64.0,69.0,55.0,65.0,42.0,60.0,62.0,55.0,69.0,50.0,72.0,80.0,51.0,60.0,64.0,53.0,2.278767650399617,3.581426744075639,2.350762882497616,22.655215795264052,6.776922358580213,1.588823275778899,1.5744294286224392,2.6157680363213194,3.042098705110072,2.007772700040432,2.5441303066232113,1.2865623420456338,-0.24866374530071184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19.0,66.0,76.0,1.0,3.0,3.0,2.0,91.0,59.0,68.0,50.0,57.0,35.0,56.0,65.0,57.0,94.0,60.0,74.0,85.0,31.0,53.0,65.0,45.0,2.3547494316111752,3.594645936057005,2.416656395940773,22.655215795264052,7.442015355198194,1.5854108154005266,1.5526255875801016,2.8647004825218096,3.082131822140988,1.9111624280074981,2.3871566370309916,1.9888381848208643,-1.9746383771382063,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23.0,66.0,75.0,1.0,4.0,3.0,1.0,82.0,61.0,74.0,52.0,62.0,51.0,51.0,62.0,56.0,77.0,64.0,64.0,66.0,50.0,55.0,66.0,61.0,2.3789754533607326,3.657355585998256,2.4260653230427836,22.655215795264052,8.104774075415646,1.6459226098973267,1.6382224343489344,2.7829947460709605,3.8556259819623597,2.126879785311894,2.5809018180763257,1.7936034657665778,-0.30257628333496317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
23.0,66.0,75.0,1.0,4.0,3.0,1.0,84.0,64.0,67.0,65.0,45.0,59.0,51.0,50.0,51.0,85.0,62.0,63.0,72.0,66.0,62.0,62.0,63.0,2.3016927392641993,3.511475869676314,2.374771561168574,22.655215795264052,7.8299967201075855,1.6410052857720987,1.603614402736107,2.895641653318523,3.1573334778160134,2.1159500510451563,2.5809018180763257,1.6137798580453142,-0.489891434244589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
